Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
2,eyenic,17,201,02-Jan-23,10-Mar-23,24-Jan-23,Innovation Hardwork And Diligence,Rahul Dua,Beauty/Fashion,Eyewear,https://eyenic.in/,2017,2,2,,,0,Middle,Delhi,Delhi,,15,45,21,,,,,,75,6,1250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,ekatra,17,202,02-Jan-23,10-Mar-23,24-Jan-23,Innovation Hardwork And Diligence,Rahul Dua,Furnishing/Household,Handmade paper goods,https://ekatrahandmade.com/,2019,2,,2,,0,Middle,Kota,Rajasthan,,5,80,28,,,,,,40,10,400,1,1,20,20,20,,100,2,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,1,,1,1,1,1,,
2,Raasa,18,203,02-Jan-23,10-Mar-23,25-Jan-23,Business Ideas With Potential,Rahul Dua,Food,Food karts,,2022,1,1,,,0,Middle,Delhi,Delhi,,,,,,,,,,50,5,1000,1,1,50,25,,,200,1,,,,,,,,,,50,25,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,NeoMotion,18,204,02-Jan-23,10-Mar-23,25-Jan-23,Business Ideas With Potential,Rahul Dua,Manufacturing,Wheelchairs,https://www.neomotion.in/,2020,3,3,,,0,Middle,Chennai,Tamil Nadu,470,,,,,,,,,100,1,10000,1,1,100,1,,,10000,1,,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,1,,1,1,1,1,,
2,licksters,18,205,02-Jan-23,10-Mar-23,25-Jan-23,Business Ideas With Potential,Rahul Dua,Food,Icecreams ice-pops,https://www.licksters.com/,,2,1,1,,1,Middle,Nagpur,Maharashtra,86,14,,,,,,,,50,5,1000,1,1,25,5,25,,500,1,,,,,,,,,,,,,,,,,,,25,5,25,,,,,,,,,1,,1,1,1,1,,
2,Sayonara,18,206,02-Jan-23,10-Mar-23,25-Jan-23,Business Ideas With Potential,Rahul Dua,Beauty/Fashion,Petticoat,,,1,1,,,0,Middle,Kolkata,West Bengal,0,,,,,,,yes,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,PMV,19,207,02-Jan-23,10-Mar-23,26-Jan-23,Building Brands For India,Rahul Dua,Vehicles/Electrical Vehicles,Personal Mobility Vehicle,https://pmvelectric.com/,2018,1,1,,,0,Middle,Mumbai,Maharashtra,0,,,,,,,,,100,1,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,SpiceStory,19,208,02-Jan-23,10-Mar-23,26-Jan-23,Building Brands For India,Rahul Dua,Food,Indian Sauces Chutneys,https://spice-story.in/,2019,3,2,1,,0,Middle,Mumbai,Maharashtra,410,57,,,,,,,,70,2,3500,1,1,70,5,,,1400,1,,,,70,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Snitch,20,210,02-Jan-23,10-Mar-23,27-Jan-23,Nurturing Indian Entrepreneurs,Rahul Dua,Beauty/Fashion,Menswear,https://www.snitch.co.in/,2020,1,1,,,0,Middle,Bangalore,Karnataka,,,,,,,,,,150,0.5,30000,1,1,150,1.5,,,10000,5,,,,30,0.3,,30,0.3,,30,0.3,,30,0.3,,30,0.3,,,,,,,,,,,,,1,1,1,1,1,,,
2,Portl,20,211,02-Jan-23,10-Mar-23,27-Jan-23,Nurturing Indian Entrepreneurs,Rahul Dua,Services,Portl studio gym,https://portl.co/,,3,3,,,0,Middle,Hyderabad,Telangana,,,45,,,,,,,150,1,15000,1,1,150,2.5,,,6000,3,,,,50,0.833,,,,,,,,50,0.833,,50,0.833,,,,,,,,,,,,,1,1,1,1,1,,,
