Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
2,DigiQure,31,247,02-Jan-23,10-Mar-23,13-Feb-23,Innovations And Investments,Rahul Dua,Medical/Health,Book Doctors Appointments Video Consultation,https://digiqure.com/,,2,2,,,0,Middle,Bhopal,Madhya Pradesh,,,,,,,,,,40,4,1000,1,1,40,10,,,400,1,,,,40,10,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Pabiben,32,249,02-Jan-23,10-Mar-23,14-Feb-23,Pitch Perfect,Rahul Dua,Beauty/Fashion,Handcrafted products sold directly by artisans,https://www.pabiben.com/,,2,1,1,,0,Middle,Ahmedabad,Gujarat,,,50,35,,,,,,50,5,1000,1,1,10,5,40,0,200,1,,,,10,5,40,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Homestrap,32,250,02-Jan-23,10-Mar-23,14-Feb-23,Pitch Perfect,Rahul Dua,Furnishing/Household,Collection of organizer for home and travelling,https://www.homestrap.com/,,2,1,1,,1,Middle,Indore,Madhya Pradesh,,,55,,,,,,,70,1,7000,1,1,50,7,20,10,714.2857143,1,,,,,,,,,,50,7,20,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,uBreathe,32,251,02-Jan-23,10-Mar-23,14-Feb-23,Pitch Perfect,Rahul Dua,Manufacturing,Smart Natural Air Purifier,https://www.ubreathe.in/,,2,2,,,0,Middle,Gurgaon,Haryana,,,,,,,,,,150,7.5,2000,1,1,50,5,100,10,1000,1,,,,50,5,100,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Deyor,32,252,02-Jan-23,10-Mar-23,14-Feb-23,Pitch Perfect,Rahul Dua,Technology/Software,Chatbot integrated experiential travel website,https://www.deyorcamps.com/,,2,2,,,0,Middle,Gurgaon,Haryana,,,25,5,,,,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,iMumz,33,253,02-Jan-23,10-Mar-23,15-Feb-23,Growing With India,Rahul Dua,Medical/Health,Transforming pregnancy and parenting with app,https://www.imumz.com/,2020,3,2,1,,0,Middle,Bangalore,Karnataka,,,,,,,,,,70,1,7000,1,1,10,1,60,10,1000,1,,,,,,,,,,,,,,,,10,1,60,,,,,,,,,,,,1,1,1,1,1,,,
2,MidNightAngelsByPC,34,257,02-Jan-23,10-Mar-23,16-Feb-23,Growing Ideas Into Successful Businesses,Rahul Dua,Beauty/Fashion,Lounge & Travel wear,https://midnightangelsbypc.com/,2017,2,,2,,0,Middle,Gurgaon,Haryana,180,,83,20,,,,,,75,6,1250,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,CureSee,34,258,02-Jan-23,10-Mar-23,16-Feb-23,Growing Ideas Into Successful Businesses,Rahul Dua,Medical/Health,Artificial Intelligence (AI) based vision therapy,https://curesee.com/,2019,3,3,,,0,Middle,Gurgaon,Haryana,0,264,,,,,,,,40,5,800,1,1,50,10,,,500,1,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,1,1,1,1,1,,,
2,MeduLance,35,259,02-Jan-23,10-Mar-23,17-Feb-23,Business Ideas Ka Pitara,Rahul Dua,Medical/Health,One-stop solution for all healthcare needs,https://medulance.com/,,2,2,,,0,Middle,Delhi,Delhi,240,,,24,,,,,,200,1,20000,1,1,200,2,,,10000,3,,,,66.66,0.666,,,,,,,,66.66,0.666,,66.66,0.666,,,,,,,,,,,,,1,,1,1,1,1,,
2,Cakelicious,35,260,02-Jan-23,10-Mar-23,17-Feb-23,Business Ideas Ka Pitara,Rahul Dua,Food,Cakes Online,,,2,,2,,0,Middle,Kolkata,West Bengal,,3,60,40,,,,,,25,5,500,1,1,25,20,,,125,1,,,,,,,,,,,,,,,,,,,25,20,,,,,,,,,,1,,1,1,1,1,,
2,Bowled.io,35,261,02-Jan-23,10-Mar-23,17-Feb-23,Business Ideas Ka Pitara,Rahul Dua,Sports,Play-to-Earn Social Gaming Platform,https://www.bowled.io/,,2,2,,,0,Middle,Mumbai,Maharashtra,,,,,,,,,,80,1,8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Toyshine,35,262,02-Jan-23,10-Mar-23,17-Feb-23,Business Ideas Ka Pitara,Rahul Dua,Manufacturing,Collection of Toys,https://toyshine.in/,,1,1,,,0,Middle,Jalandhar,Punjab,4500,450,,15,,,,,,125,0.5,25000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Amrutam,36,264,02-Jan-23,10-Mar-23,20-Feb-23,Anokhe Pitchers Ke Anokhe Ideas,Rahul Dua,Food,Ayurvedic Lifestyle products,https://amrutam.co.in/,2017,3,2,1,,0,Middle,Gwalior,Madhya Pradesh,110,,,,,,,,,50,2,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,HoloKitab,36,265,02-Jan-23,10-Mar-23,20-Feb-23,Anokhe Pitchers Ke Anokhe Ideas,Rahul Dua,Technology/Software,Augmented Reality content for books,https://www.holokitab.in/,,2,2,,,0,Middle,Jalandhar,Punjab,0,,,,,,,,,45,10,450,1,1,45,25,,,180,1,yes,,,45,25,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Zoe,37,266,02-Jan-23,10-Mar-23,21-Feb-23,Bharat Ka Kal,Rahul Dua,Food,Nutrition For Life. Shop health & wellness products,https://www.zoe.menu/,,2,1,1,,1,Middle,Gurgaon,Haryana,120,,,,,,,,,75,5,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Hornback,37,267,02-Jan-23,10-Mar-23,21-Feb-23,Bharat Ka Kal,Rahul Dua,Vehicles/Electrical Vehicles,Diamond frame folding bicycles,https://hornback.bike/,,2,2,,,0,Middle,Hyderabad,Telangana,,,,,,,,yes,,50,1,5000,1,1,50,2.5,,,2000,1,yes,,,,,,,,,,,,,,,,,,50,2.5,,,,,,,,,,1,,1,1,1,1,,
2,Malaki,37,268,02-Jan-23,10-Mar-23,21-Feb-23,Bharat Ka Kal,Rahul Dua,Liquor/Beverages,Non-Alcoholic Beverages,https://malaki.in/,,2,2,,,0,Middle,Mumbai,Maharashtra,270,42,56,13,,,,,,50,1,5000,1,1,50,3,,,1666.666667,2,,,,,,,,,,,,,25,1.5,,25,1.5,,,,,,,,,,,,,1,,1,1,1,1,,
2,nanoclean,37,269,02-Jan-23,10-Mar-23,21-Feb-23,Bharat Ka Kal,Rahul Dua,Manufacturing,Contamination Control Solutions,https://nanoclean.store/,2017,1,1,,,0,Middle,Bikaner,Rajasthan,110,5,,,,,,yes,,80,2,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,DesmondJi,38,270,02-Jan-23,10-Mar-23,22-Feb-23,Innovation And Imagination,Rahul Dua,Liquor/Beverages,"Spirits, Liqueurs & Cocktail Blends",,,2,2,,,0,Middle,Goa,Goa,1200,125,,,,,,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Cremeitalia,38,271,02-Jan-23,10-Mar-23,22-Feb-23,Innovation And Imagination,Rahul Dua,Food,Fresh Italian Cheese Products,https://cremeitalia.com/,,1,1,,,0,Middle,Mumbai,Maharashtra,,62,,,,,,,,90,1.5,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,nawgati,38,272,02-Jan-23,10-Mar-23,22-Feb-23,Innovation And Imagination,Rahul Dua,Services,Congestion Management for Fuel Stations,https://www.nawgati.com/,,3,3,,,0,Young,Noida,Uttar Pradesh,,,,,,,,,,67,2,3350,1,1,67,3,,,2233.333333,2,,,,,,,,,,,,,33.5,1.5,,,,,33.5,1.5,,,,,,,,,,1,,1,1,1,1,,
2,Swytchd,38,273,02-Jan-23,10-Mar-23,22-Feb-23,Innovation And Imagination,Rahul Dua,Vehicles/Electrical Vehicles,All-inclusive Electric Vehicle Subscription,https://swytchd.com/,,1,1,,,0,Middle,Bangalore,Karnataka,,,,,,,,,,50,3,1666.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Pharmallama,39,275,02-Jan-23,10-Mar-23,23-Feb-23,Revolutionary Ideas And Successful Businesses,Rahul Dua,Medical/Health,Simplified pharmacy,https://pharmallama.com/,2022,3,3,,,0,Middle,Bangalore,Karnataka,,24,,,,,,,,100,1.5,6666.666667,1,1,200,5,,,4000,5,,,,40,1,,,,,40,1,,40,1,,40,1,,40,1,,,,,,,,,,1,,1,1,1,1,,
2,CraveRajaFoods,39,276,02-Jan-23,10-Mar-23,23-Feb-23,Revolutionary Ideas And Successful Businesses,Rahul Dua,Food,Cloud-kitchen service,https://craverajafoods.com/,2020,2,2,,,0,Middle,Kolkata,West Bengal,256,20,70,3,,,,,,65,3,2166.666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,VAPerfume,39,277,02-Jan-23,10-Mar-23,23-Feb-23,Revolutionary Ideas And Successful Businesses,Rahul Dua,Furnishing/Household,"Devotional, meditational, and romantic incense",http://www.vaperfume.com/,,1,1,,,0,Middle,Mumbai,Maharashtra,,,56,35,,,,,,100,10,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Hood,40,278,02-Jan-23,10-Mar-23,24-Feb-23,Creating Valuable Businesses,Rahul Dua,Technology/Software,Pseudonymous social network,https://www.hood.live/,2022,3,3,,,0,Middle,Gurgaon,Haryana,0,,,,,,,,,120,0.2,60000,1,1,60,0.54,60,12,11111.11111,2,,,,,,,,,,,,,30,0.27,30,30,0.27,30,,,,,,,,,,,,1,,1,1,1,1,,
2,TwistingScoops,40,279,02-Jan-23,10-Mar-23,24-Feb-23,Creating Valuable Businesses,Rahul Dua,Food,Authentic turkish ice cream,https://twistingscoops.com/,,2,2,,,0,Young,Delhi,Delhi,,,,40,,,,,,100,2.5,4000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Makino,41,281,02-Jan-23,10-Mar-23,27-Feb-23,Out Of The Box Business Ideas,Rahul Dua,Food,Nachos & Nuts,https://makino-new.myshopify.com/,2018,4,4,,,0,Young,Himmatnagar,Gujarat,,2.5,40,,,,,,,200,2,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Trunome,41,282,02-Jan-23,10-Mar-23,27-Feb-23,Out Of The Box Business Ideas,Rahul Dua,Medical/Health,Post Transplant Care,https://acrannolife.com/,,2,2,,,0,Middle,Chennai,Tamil Nadu,,,,,,,,yes,,150,1,15000,1,1,150,2,,,7500,4,,,,,,,37.5,0.5,,37.5,0.5,,37.5,0.5,,37.5,0.5,,,,,,,,,,,,,1,1,1,1,1,,,
2,Wol3D,41,283,02-Jan-23,10-Mar-23,27-Feb-23,Out Of The Box Business Ideas,Rahul Dua,Manufacturing,3D printing technology,https://worldoflilliputs.com/,2016,4,2,2,,1,Middle,Mumbai,Maharashtra,,,30,,,,,,,150,1,15000,1,1,80,2,70,,4000,1,,,,,,,,,,,,,80,2,70,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,What'sUpWellness,41,284,02-Jan-23,10-Mar-23,27-Feb-23,Out Of The Box Business Ideas,Rahul Dua,Food,Wellness in the form of quick bites,https://whatsupwellness.in/,,2,1,1,,0,Middle,Kolkata,West Bengal,,30,,,,,,,,50,3,1666.666667,1,1,60,4.76,,,1260.504202,3,,,,,,,20,1.586,,20,1.586,,20,1.586,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,DrCubes,42,286,02-Jan-23,10-Mar-23,28-Feb-23,Building Businesses From Scratch,Rahul Dua,Liquor/Beverages,Frozen Fresh cubes,https://drcubes.in/,2017,2,2,,,0,Middle,Bangalore,Karnataka,75,,45,35,,,,,,80,15,533.3333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,MetroRide,42,287,02-Jan-23,10-Mar-23,28-Feb-23,Building Businesses From Scratch,Rahul Dua,Vehicles/Electrical Vehicles,Metro Shuttle Service Access Transportation,https://metroride.in/,,2,2,,,0,Middle,Bangalore,Karnataka,54,25,,,,,,,,75,1,7500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Conker,42,288,02-Jan-23,10-Mar-23,28-Feb-23,Building Businesses From Scratch,Rahul Dua,Technology/Software,Skill Based Learning Online Courses,https://learn.conkerworld.com/,,1,1,,,0,Middle,Bangalore,Karnataka,120,22,50,8,,,,,,40,1,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,WTF,43,289,02-Jan-23,10-Mar-23,01-Mar-23,Creating Value Through Ideas,Rahul Dua,Food,Where's The Food,,,1,1,,,0,Middle,Kolkata,West Bengal,,,,,,,,,,75,5,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,funngro,43,290,02-Jan-23,10-Mar-23,01-Mar-23,Creating Value Through Ideas,Rahul Dua,Technology/Software,Smart Teens work with Smart companies,https://www.funngro.com/,2021,3,1,2,,1,Middle,Mumbai,Maharashtra,,,,,,,,,,50,1.25,4000,1,1,50,4.16,,,1201.923077,2,,,,25,2.08,,,,,,,,,,,,,,25,2.08,,,,,,,,,,1,,1,1,1,1,,
2,Aadvik,43,291,02-Jan-23,10-Mar-23,01-Mar-23,Creating Value Through Ideas,Rahul Dua,Food,Buy Camel & Goat Milk,https://aadvikfoods.com/,,2,2,,,0,Middle,Delhi,Delhi,720,50,,,,,,,,60,1.5,4000,1,1,15,1.5,45,12,1000,1,,,,,,,,,,,,,,,,,,,15,1.5,45,,,,,,,,,1,,1,1,1,1,,
2,oyehappy,43,292,02-Jan-23,10-Mar-23,01-Mar-23,Creating Value Through Ideas,Rahul Dua,Services,"Unique Gifts, Customized Gifts, Romantic Gifts, Thoughtful Gifts",https://www.oyehappy.com/,,2,2,,,0,Middle,Hyderabad,Telangana,1005,80,80,,,,,,,50,1,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Kitsons,44,294,02-Jan-23,10-Mar-23,02-Mar-23,Entrepreneurship Ka Junoon,Rahul Dua,Furnishing/Household,"Stationery, Art & Craft, Books & Toy Retail Space",https://kitsons.in/,2010,3,3,,,0,Middle,Hyderabad,Telangana,,,,,,,,,,1000,10,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,LondonBubble,44,295,02-Jan-23,10-Mar-23,02-Mar-23,Entrepreneurship Ka Junoon,Rahul Dua,Food,Waffle Chips Online,https://londonbubbleco.com/,,2,2,,,0,Middle,Mumbai,Maharashtra,,,,,,,,,,75,5,1500,1,1,75,15,,,500,1,,,,75,15,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,WaggyZone,44,296,02-Jan-23,10-Mar-23,02-Mar-23,Entrepreneurship Ka Junoon,Rahul Dua,Animal/Pets,"Ice Cream Treat for Dogs, Puppies and Cats",https://waggyzone.com/,,1,,1,,0,Middle,Mumbai,Maharashtra,0,1,60,,,,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,NutriCook,45,297,02-Jan-23,10-Mar-23,03-Mar-23,True Meaning Of Entrepreneurship,Rahul Dua,Food,"Smart Pots, Air Fryers, Air Fryer Oven",https://www.nutricookindia.com/,,2,1,1,,0,Middle,"Bangalore,Punganur","Karnataka,Andhra Pradesh",13,,,,,,,,,100,2,5000,1,1,50,10,50,12,500,1,,,,,,,50,10,50,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Subhag,45,298,02-Jan-23,10-Mar-23,03-Mar-23,True Meaning Of Entrepreneurship,Rahul Dua,Medical/Health,Health-tech IUI Treatment Procedure for Infertility,https://subhag.in/,,3,3,,,0,Middle,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",,0,,,,,,yes,,50,1,5000,1,1,20,1,30,10,2000,1,,,,20,1,30,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,SinghStyled,45,299,02-Jan-23,10-Mar-23,03-Mar-23,True Meaning Of Entrepreneurship,Rahul Dua,Beauty/Fashion,Sikh Gentleman to maintain their Guru-gifted identity,https://www.singhstyled.com/,2019,2,2,,,0,Middle,Mumbai,Maharashtra,,7.5,,,,,,,,50,5,1000,1,1,50,10,,,500,1,yes,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,1,1,1,1,1,,,
2,ZSportsTech,46,300,02-Jan-23,10-Mar-23,06-Mar-23,Different Colours Of Entrepreneurship,Rahul Dua,Sports,Cricket Sport Shop,https://www.zsportstech.com/,,2,2,,,0,Middle,Mumbai,Maharashtra,31,,,,,,,,,60,2,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,ThePlatedProject,46,301,02-Jan-23,10-Mar-23,06-Mar-23,Different Colours Of Entrepreneurship,Rahul Dua,Services,Decor Plates & Dinnerware,https://www.theplatedproject.com/,,1,1,,,0,Middle,Mumbai,Maharashtra,,,,,,,,,,75,2,3750,1,1,75,3.75,,,2000,3,,,,25,1.25,,25,1.25,,,,,25,1.25,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,VsnapU,46,302,02-Jan-23,10-Mar-23,06-Mar-23,Different Colours Of Entrepreneurship,Rahul Dua,Services,Professional Photography service,https://www.vsnapu.com/,2017,4,4,,,0,Middle,Goa,Goa,,15,,,,,,,,50,1.5,3333.333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Brevistay,47,304,02-Jan-23,10-Mar-23,07-Mar-23,Tunnel Se Tank Tak Ka Safar,Rahul Dua,Services,Booking hotels for hours,https://www.brevistay.com/,2016,5,5,,,0,Young,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",,42,,,,,,,,100,1.66,6024.096386,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,SoulUp,47,305,02-Jan-23,10-Mar-23,07-Mar-23,Tunnel Se Tank Tak Ka Safar,Rahul Dua,Services,Real Conversations Real People,https://www.soulup.in/,,2,,2,,0,Middle,Bangalore,Karnataka,,,,,,,,,,50,3,1666.666667,1,1,50,5,,,1000,1,,,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,TheBigBookBox ChapterOneBooks,47,306,02-Jan-23,10-Mar-23,07-Mar-23,Tunnel Se Tank Tak Ka Safar,Rahul Dua,Furnishing/Household,New paperback and hardcover books,https://www.thebigbookbox.com/,,2,1,1,,0,Middle,Gopalganj,Bihar,140,,,,,,,,,50,8,625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Rubans,48,307,02-Jan-23,10-Mar-23,08-Mar-23,"Pitchers, Investments And Businesses",Rahul Dua,Beauty/Fashion,Artificial Jewellery Set Online,https://www.rubans.in/,2014,2,1,1,,1,Middle,Bangalore,Karnataka,5100,,,,,,,,,150,0.5,30000,1,1,100,1,50,12,10000,3,,,,33.33,0.333,16.66,33.33,0.333,16.66,,,,33.33,0.333,16.66,,,,,,,,,,,,,,,1,1,1,1,1,1,,
2,SameNotification,48,308,02-Jan-23,10-Mar-23,08-Mar-23,"Pitchers, Investments And Businesses",Rahul Dua,Technology/Software,parental monitoring app,,,1,1,,,0,Middle,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",,,,,,,,,,25,15,166.6666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
2,BottomLineSprays,48,309,02-Jan-23,10-Mar-23,08-Mar-23,"Pitchers, Investments And Businesses",Rahul Dua,Furnishing/Household,portable jet spray,https://bottomlinesprays.com/,,2,1,1,,1,Middle,Ahmedabad,Gujarat,,2,,,,,,,,35,5,700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
2,ForeverModest,49,311,02-Jan-23,10-Mar-23,09-Mar-23,Businesses Adding Value To Society,Rahul Dua,Beauty/Fashion,premium Muslim women's clothing,https://forevermodest.shop/,2021,1,,1,,0,Young,Aurangabad,Maharashtra,,4.2,,,,,,,,20,10,200,1,1,20,20,,,100,4,,,,5,5,,5,5,,5,5,,,,,,,,5,5,,,,,,,,,,1,1,1,1,1,1,,
2,Sahayatha,49,312,02-Jan-23,10-Mar-23,09-Mar-23,Businesses Adding Value To Society,Rahul Dua,Medical/Health,smart wheelchair with an assistive cleansing device,https://dhanvantribiomedical.com/,2022,1,,1,,0,Young,Coimbatore,Tamil Nadu,,,,,,,,yes,,100,10,1000,1,1,100,10,,,1000,5,,,,20,2,,,,,20,2,,20,2,,20,2,,20,2,,,,,,,,,,1,1,1,1,1,1,,
2,maisha,49,314,02-Jan-23,10-Mar-23,09-Mar-23,Businesses Adding Value To Society,Rahul Dua,Beauty/Fashion,Handmade Cotton & Jacquard Bags,https://maishalifestyle.com/,2018,3,2,1,,0,Middle,Ahmedabad,Gujarat,,,,,,,,,,75,3,2500,1,1,10,1,65,18,1000,1,,,,,,,,,,,,,,,,,,,10,1,65,,,,,,,,,1,1,1,1,1,1,,
2,NishHair,50,315,02-Jan-23,10-Mar-23,10-Mar-23,Season Finale With The Sharks,Rahul Dua,Beauty/Fashion,100% Human Hair Extensions,https://nishhair.com/,2017,1,,1,,0,Middle,Mumbai,Maharashtra,670,80,,30,,,,,,100,2,5000,1,1,100,2,,,5000,1,,,,,,,,,,,,,,,,,,,100,2,,,,,,,,,,1,1,1,1,1,1,,
2,Naara-Aaba,51,319,02-Jan-23,10-Mar-23,10-Mar-23,Gateway To Shark Tank India,Rahul Dua,Liquor/Beverages,pears and plum wine,https://www.naaraaaba.com/,2017,2,1,1,,1,Middle,Ziro,Arunachal Pradesh,,,50,18,,,,,,75,2.5,3000,1,1,50,5,25,10,1000,2,,,,,,,25,2.5,12.5,,,,,,,,,,,,,,,,25,2.5,12.5,Vikas D Nahar,Vikas D Nahar,1,1,,1,,1,,1
2,StyloBug,51,320,02-Jan-23,10-Mar-23,10-Mar-23,Gateway To Shark Tank India,Rahul Dua,Beauty/Fashion,Girls Dresses Online,https://stylobug.com/,,2,1,1,,,Middle,Delhi,Delhi,1400,46,,18,,,,,,80,2,4000,1,1,80,10,,,800,1,,,,,,,,,,,,,,,,,,,80,10,,,,,,,,,Vikas D Nahar,1,1,,1,,1,,1
3,HonestHome,1,322,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Furnishing/Household,Eco friendly products,https://honesthome.in/,2019,1,1,,,0,Middle,Dhampur,Uttar Pradesh,1400,142,,5,,,,,,100,2,5000,1,1,100,3,,,3333.333333,1,,1,,,,,,,,,,,,,,,,,100,3,,,,,,,,,,1,1,1,1,,1,,
3,ConsciousChemist,1,324,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Beauty/Fashion,Skincare Products,https://consciouschemist.com/,2020,2,2,,,0,Middle,Jaipur,Rajasthan,450,85,,,,,,,,60,2,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,TheCinnamonKitchen,2,325,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Food,Plant-based healthy snacks,https://cinnamon.kitchen/,2019,1,,1,,0,Middle,Chandigarh,Punjab,82,,,,,,,,,60,2,3000,1,1,60,5,,,1200,1,,,,,,,,,,,,,60,5,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,WtfGyms,2,326,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Services,Gyms service,https://wtfup.me/,2021,2,1,1,,1,Middle,Noida,Uttar Pradesh,,65,,,,,,,,100,2,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Intervue,2,327,22-Jan-24,31-Mar-24,23-Jan-24,An Entrepreneurial Showcase,Rahul Dua,Technology/Software,Conducts technical interviews online,https://www.intervue.io/,2020,2,2,,,0,Young,"Ludhiana,Ghaziabad","Punjab,Uttar Pradesh",870,,,,,,,,,150,1,15000,1,1,150,2,,,7500,1,,,,,,,,,,,,,150,2,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,Blix,3,329,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Technology/Software,Robotics toys,https://blix.in/,2021,1,1,,,0,Middle,Mumbai,Maharashtra,400,36,50,,,,,,,80,2,4000,1,1,80,4,,,2000,2,,,,,,,,,,,,,40,2,,,,,,,,,,,40,2,,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,TURMS,4,331,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,Intelligent Clothing,https://urturms.com/,2022,1,1,,,0,Old,Bangalore,Karnataka,70,86,,,,,,,,120,2,6000,1,1,120,4,,,3000,1,,,,,,,,,,,,,,,,,,,,,,,,,120,4,,Azhar Iqubal,Azhar Iqubal,,1,1,1,1,,,1
3,mintree,4,332,22-Jan-24,31-Mar-24,25-Jan-24,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,Skincare products,https://mintree.us/,2018,1,,1,,0,Middle,Nagpur,Maharashtra,900,,,,,,,,,90,1,9000,1,1,90,1.5,,,6000,2,,,,,,,,,,,,,,,,45,0.75,,,,,,,,45,0.75,,Azhar Iqubal,Azhar Iqubal,,1,1,1,1,,,1
